product_id,sku,name,category,unit_price,cost_price,stock_quantity,avg_rating
d464ec55-c3e8-4d5a-935a-8b364e79da2c,SKU-00000000,One Product 0,sports,103.06,15.47,151,4.6
27fb3f1e-70a3-4dfc-9085-50ff1a6d7ccb,SKU-00000001,Capital Product 1,books,40.11,47.99,451,3.3
fd9f73ab-a636-42a6-a097-4b8f07c2a5a7,SKU-00000002,Buy Product 2,books,255.79,164.29,215,3.9
7c76023e-a47f-4272-bc28-3238821a0944,SKU-00000003,Rest Product 3,sports,23.82,44.31,658,3.6
e9c3ab61-fe6d-4164-984a-af512f9ad5a1,SKU-00000004,Amount Product 4,sports,241.56,122.98,791,4.9
bae63b54-ac03-4901-8de7-1ec513e6c5d1,SKU-00000005,Director Product 5,sports,450.43,176.24,309,4.0
ad655de2-7c83-4ca3-afcd-a626491afe83,SKU-00000006,Occur Product 6,electronics,376.8,80.52,232,4.0
ee980cac-5323-43f3-a2b6-c25246003524,SKU-00000007,Middle Product 7,books,472.54,168.93,492,3.2
595110b2-76a7-402f-b645-cdbd56e063b4,SKU-00000008,Market Product 8,home_garden,121.06,147.36,148,4.8
98b588a0-9103-49ae-997b-28d06eefac84,SKU-00000009,Cut Product 9,beauty,270.23,112.54,336,3.5
6d8a1857-cc42-4f8c-ba58-c7301cfc0f53,SKU-00000010,Without Product 10,beauty,166.1,224.83,455,3.8
c615c004-2c5a-4995-9326-8b79c219e0d7,SKU-00000011,Short Product 11,clothing,251.97,174.55,478,5.0
f9301210-fdd3-466b-b43f-664c0ef36307,SKU-00000012,Whole Product 12,home_garden,282.97,93.35,506,3.2
a5bd5701-8670-492a-bcff-ee6d6203d066,SKU-00000013,Official Product 13,books,27.73,202.04,274,4.4
ee18b0ff-0f0e-4f4d-8d74-655f57428bfd,SKU-00000014,Agree Product 14,electronics,124.3,185.84,970,3.5
6cf7a79c-be51-43a7-9239-3f1dd9afac0a,SKU-00000015,View Product 15,electronics,355.34,198.96,180,3.8
331c5d39-a2f3-4a67-9dba-a39e81bdd4a7,SKU-00000016,Along Product 16,home_garden,388.73,162.03,433,3.8
13fd8f5e-0ca1-48c5-b832-5838094ea381,SKU-00000017,Your Product 17,sports,289.03,97.95,150,4.9
4a8c6a65-47f4-4dbb-8b90-76b7cd8adc5a,SKU-00000018,Like Product 18,sports,142.71,90.4,804,3.0
4ce28aa3-8419-4a85-804c-44ca4329b374,SKU-00000019,Sit Product 19,home_garden,208.49,165.27,795,3.7
b8e63e80-b0a1-436d-bf4b-b9cf17b0ddea,SKU-00000020,Money Product 20,books,57.06,37.07,470,4.7
c2fc927f-f825-46f9-94be-3e89736113d2,SKU-00000021,Stay Product 21,beauty,477.06,205.88,203,4.8
44a46cb6-9516-4da2-bf79-413f385c266b,SKU-00000022,Operation Product 22,sports,435.65,95.73,591,3.6
ad134bbf-0f66-4851-8be7-982f93dbdb53,SKU-00000023,Plant Product 23,clothing,42.15,159.44,463,3.5
3fb1b0c2-bdca-441d-acf9-2e82fc3f1daa,SKU-00000024,Still Product 24,books,91.58,127.27,973,3.9
21d1609f-6bb9-4057-99bd-8331fa919181,SKU-00000025,Term Product 25,books,294.74,132.23,326,4.5
b4b9309d-deaf-4a07-99a9-0882fcfcc740,SKU-00000026,Name Product 26,electronics,123.89,185.81,148,3.3
59b85241-3aaf-4ea7-b5be-c1bb87f30976,SKU-00000027,Between Product 27,sports,467.86,158.53,276,4.6
a11cd13e-a1dc-41a1-b3f9-2574229f3fee,SKU-00000028,Town Product 28,beauty,380.24,66.33,936,4.0
3b0e0d06-cc21-4a3c-a1b4-008c6c672839,SKU-00000029,Owner Product 29,books,143.91,23.19,34,3.3
b8daf4f9-b5a8-47ce-9546-4a38e830714f,SKU-00000030,Rock Product 30,sports,12.99,210.86,877,4.3
ee382e38-abc0-4cdb-bca6-6a6a46d17f7d,SKU-00000031,Interesting Product 31,sports,401.73,221.8,215,4.3
63fad518-bd9b-4c98-a708-33d0d48cf2cc,SKU-00000032,Old Product 32,electronics,217.8,45.3,0,4.2
ee37dc02-66fb-495c-a588-39942a10e1ae,SKU-00000033,Stage Product 33,clothing,324.77,80.82,717,4.5
d2361873-eee6-4b64-b475-782fce498792,SKU-00000034,Wind Product 34,books,150.62,74.17,467,3.4
c2460218-d7aa-4873-90f3-8a7c615245a9,SKU-00000035,Local Product 35,clothing,80.01,234.67,603,4.4
651fb058-dd32-40f7-aa25-7f150755e502,SKU-00000036,Whose Product 36,beauty,340.9,55.17,465,4.8
2eef6076-15e3-49df-a107-f0437458b995,SKU-00000037,Activity Product 37,home_garden,230.66,45.8,450,4.1
8014d3ff-de08-4550-8330-9801a097e202,SKU-00000038,Rule Product 38,home_garden,125.23,49.55,602,4.0
69d3e79d-be76-4ba5-8d5a-37957dbf45bc,SKU-00000039,Wish Product 39,home_garden,77.44,183.82,69,4.6
